iceberg_id,start_time,end_time,start_latitude,start_longitude,observed_latitude,observed_longitude,displacement_m,displacement_km,azimuth_deg,observed_u,observed_v,observed_speed,duration_hours,ocean_u,ocean_v,ocean_speed,wind_u,wind_v,wind_speed,temperature,wave_height
a78,2023-06-14,2023-06-15,-66.838,-47.394,-66.719,-47.295,13967.84962921012,13.967849629210122,18.223803773512603,0.0505574014917106,0.1535561706293579,0.161664926264006,24.0,-0.02800000086426735,0.18900001049041748,0.19106282739920105,5.719818115234375,7.58453369140625,9.499551072942333,,
a78,2023-06-15,2023-06-16,-66.719,-47.295,-66.702,-47.246,2876.039134117339,2.876039134117339,48.785846912393225,0.0250405868297168,0.0219323049466497,0.0332874899782099,24.0,-0.010000000707805157,0.0860000029206276,0.0865794462704865,5.6422882080078125,1.9375152587890625,5.965683665789233,,
a78,2023-06-16,2023-06-17,-66.702,-47.246,-66.689,-47.201,2459.9867928207773,2.4599867928207773,53.91167122740789,0.0230085607606584,0.0167709530272045,0.0284720693613515,24.0,-0.015000000596046448,0.049000002443790436,0.051244514412499435,0.7812347412109375,-0.6597442626953125,1.0225410568941973,,
a78,2023-06-17,2023-06-18,-66.689,-47.201,-66.663,-47.128,4337.924152054712,4.337924152054712,48.09020594900953,0.0373642566670842,0.0335365607635197,0.0502074554635962,24.0,-0.012000000104308128,0.03700000047683716,0.03889730116331138,2.2818756103515625,0.5994110107421875,2.3592901180050507,,
a78,2023-06-18,2023-06-19,-66.663,-47.128,-66.621,-47.077,5199.267855536094,5.199267855536094,25.75487515636664,0.0261480985660433,0.054198833227036,0.060176711290927,24.0,0.014000000432133675,0.032999999821186066,0.035846896662026735,2.3419189453125,-3.035675048828125,3.8340458198215694,,
a78,2023-06-19,2023-06-20,-66.621,-47.077,-66.53,-47.165,10873.475032761511,10.873475032761512,-21.08930173689785,-0.045283820213682,0.117421038082047,0.1258504054717767,24.0,0.10700000822544098,0.006000000052154064,0.10716810048176782,5.0205841064453125,-0.3075714111328125,5.029996515191388,,
a78,2023-06-20,2023-06-21,-66.53,-47.165,-66.504,-47.232,4158.037064876481,4.158037064876481,-45.82016542609176,-0.0345134369126076,0.0335392246199503,0.0481254289916259,24.0,-0.026000000536441803,0.04200000315904617,0.04939635910929937,-3.0937957763671875,4.960845947265625,5.846500219650148,,
b09i,2021-05-24,2021-05-25,-66.706,-44.029,-66.655,-44.106,6627.596351097979,6.627596351097979,-30.92741126864245,-0.0394243570767412,0.0658018388243891,0.076708291100671,24.0,-0.052000001072883606,0.04100000113248825,0.06621933406826086,4.5496673583984375,-2.734527587890625,5.308211958937881,,
b09i,2021-05-25,2021-05-26,-66.655,-44.106,-66.608,-44.193,6504.700348830447,6.504700348830447,-36.355470504402646,-0.0446289565064178,0.0606318441140642,0.075285883667019,24.0,-0.09400000423192978,0.03800000250339508,0.10139033970680268,2.6358795166015625,1.5717926025390625,3.068940014310512,,
b09i,2021-05-26,2021-05-27,-66.608,-44.193,-66.569,-44.282,5873.590770852179,5.873590770852179,-42.270772776189695,-0.0457266609056823,0.0503044708096517,0.0679813746626409,24.0,-0.04800000041723251,-0.1210000067949295,0.13017296833224365,-4.5866241455078125,-10.1160888671875,11.107311781929512,,
b09i,2021-05-27,2021-05-28,-66.569,-44.282,-66.54,-44.37,5073.079369229379,5.073079369229379,-50.43677346820717,-0.0452656189721133,0.0373980675853841,0.0587161964031178,24.0,-0.04000000283122063,-0.11900000274181366,0.12554282488079244,-7.08245849609375,-4.537109375,8.411098610146206,,
b09i,2021-05-28,2021-05-29,-66.54,-44.37,-66.52,-44.478,5294.417935211777,5.2944179352117775,-65.13567001892314,-0.0555978812277515,0.025765618426851,0.0612779853612474,24.0,0.030000001192092896,-0.12400000542402267,0.12757743302278512,-7.0252685546875,-7.30584716796875,10.135571079480327,,
b09i,2021-05-29,2021-05-30,-66.52,-44.478,-66.504,-44.621,6607.886235402265,6.6078862354022645,-74.40034423583174,-0.0736629553672915,0.0205665896180658,0.0764801647616002,24.0,-0.007000000216066837,0.013000000268220901,0.014764823398831402,2.8759765625,0.7533416748046875,2.9730060321241947,,
