velocity_noise_mps,ensemble_size,pairs,covered_pairs,coverage_pct,mean_radius_km,median_radius_km,p90_radius_km,max_radius_km,mean_actual_error_km,median_actual_error_km,p90_actual_error_km
0.003,100,49,1,2.0408163265306123,0.4004021262613297,0.40040797817136636,0.40050208329279285,0.4006768356566559,4.537026434696832,4.1101160748530505,8.304888455736576
0.005,100,49,4,8.16326530612245,0.6673330488059168,0.6673425678647944,0.6675001023271284,0.6677912519131296,4.537344128572144,4.1046776049752305,8.310113394630319
0.01,100,49,6,12.244897959183673,1.3346469463914756,1.334664812838232,1.3349832676284925,1.335565125486105,4.538138658422402,4.091084687375763,8.320504019127032
0.015,100,49,11,22.448979591836736,2.0019416718922196,2.001966711813177,2.0024487993537687,2.0033216047861617,4.53893359664199,4.07749642149617,8.3283051857012
0.02,100,49,18,36.734693877551024,2.6692172044530644,2.6692482416931065,2.6698969072202767,2.67106067388572,4.539728940993841,4.063912805753526,8.336103058382854
0.03,100,49,24,48.97959183673469,4.00371060738029,4.00375010183506,4.004740784012973,4.006486517811717,4.541320903446893,4.03675951840242,8.351688928597897
