model,alpha,beta,mean_error_km,median_error_km,rmse_km,p90_error_km,max_error_km,mean_skill_vs_persistence,rmse_skill_vs_persistence
persistence,,,7.335255085939586,6.6078862354022645,9.1813401971486,14.96768982162107,23.11262531838726,0.0,0.0
existing_baseline,0.85,0.015,13.060693825620962,10.489136041251372,15.681880022775932,26.97919036857563,32.874428991794346,-0.7805371009736322,-0.7080164427025772
calibrated_all_data,0.35665461385172254,0.001162614309995365,6.8785803876835345,6.100094343743963,8.062908071717564,12.79036390986857,20.935544648235453,0.06225750746302172,0.12181578085717615
