forecast_hours,samples,scaling_method,p50_uncertainty_km,p80_uncertainty_km,p90_uncertainty_km,p95_uncertainty_km
6,49,sqrt_time_from_24h_LOIO,3.179765509550828,5.120524135658805,6.4701350299636795,8.169716251452645
12,49,sqrt_time_from_24h_LOIO,4.496867508772977,7.2415146791074525,9.150152709759888,11.553723523544214
18,49,sqrt_time_from_24h_LOIO,5.5075154186971735,8.86900796434376,11.206602603728273,14.150363630937134
24,49,sqrt_time_from_24h_LOIO,6.359531019101656,10.24104827131761,12.940270059927359,16.33943250290529
30,49,sqrt_time_from_24h_LOIO,7.110171831864909,11.449840047761443,14.467661750601426,18.26804089513288
36,49,sqrt_time_from_24h_LOIO,7.788803000100478,12.54267134796994,15.848529390318163,20.011636159382288
48,49,sqrt_time_from_24h_LOIO,8.993735017545953,14.483029358214905,18.300305419519777,23.107447047088428
